diffusion,growth,hostFloor,climateFloor,hostPower,climatePower,ap_2019,ap_2020,ap_2021,ap_2022,ap_2023,mean_average_precision,worst_year_average_precision
0.28,0.13,0.0,0.35,1.0,1.0,0.7196728815415785,0.6914439776744602,0.5970772278126102,0.5291259934276807,0.5539408281783396,0.6182521817269337,0.5291259934276807
0.28,0.24,0.0,0.35,1.0,0.6,0.7352492424185854,0.6862397748689311,0.5960772802532512,0.5230615075861497,0.5505395749115392,0.6182334760076913,0.5230615075861497
0.28,0.13,0.0,0.0,1.0,0.6,0.7196728815415785,0.6912111718656697,0.5968682629371382,0.5295017173794995,0.5538399240736867,0.6182187915595145,0.5295017173794995
0.28,0.24,0.15,0.0,1.6,0.6,0.7371961805174913,0.6832035346286719,0.5937650266158359,0.5266422438258893,0.5500300629716984,0.6181674097119174,0.5266422438258893
0.28,0.13,0.15,0.0,0.6,1.6,0.7033642265923827,0.6960922735196967,0.5929670204906979,0.5449254917103472,0.5534878036283767,0.6181673631883002,0.5449254917103472
0.28,0.13,0.35,0.0,1.0,1.6,0.7058668576939238,0.6949766921748132,0.5934825024664363,0.5438404147785495,0.5516589760319949,0.6179650886291436,0.5438404147785495
0.28,0.24,0.35,0.15,1.0,0.6,0.7190770193440009,0.6870113051921355,0.5935504475393799,0.5399303248727777,0.5502561663672972,0.6179650526631183,0.5399303248727777
0.28,0.13,0.0,0.0,0.6,0.6,0.7131758093626575,0.6936244674482116,0.5955676949239702,0.5327563217348271,0.5546586478079565,0.6179565882555246,0.5327563217348271
0.28,0.13,0.15,0.35,1.0,1.6,0.7133293475590299,0.6938294324023628,0.5958848078404394,0.5337180565352188,0.5529495119569441,0.617942231258799,0.5337180565352188
0.28,0.13,0.15,0.15,1.0,1.6,0.7131625375711071,0.6956498094472562,0.592789789733575,0.5363103492077541,0.5517202263525626,0.6179265424624509,0.5363103492077541
0.28,0.13,0.0,0.35,0.6,1.0,0.7131758093626575,0.6936777585973931,0.5956641726301793,0.5323744132926285,0.554561532652116,0.6178907373069948,0.5323744132926285
0.28,0.24,0.15,0.35,1.6,1.0,0.737179599962738,0.6832035346286719,0.5927270736162615,0.5260913110015374,0.5501139099654061,0.617863085834923,0.5260913110015374
0.28,0.24,0.35,0.15,0.6,1.0,0.7057806392718441,0.6911049785046203,0.5894175510060978,0.5506872667723367,0.5522085307274479,0.6178397932564693,0.5506872667723367
0.28,0.24,0.35,0.15,1.6,0.6,0.7283898356218419,0.6828481967952664,0.5950778351748336,0.5333204048363314,0.5495566958250613,0.617838593650667,0.5333204048363314
0.28,0.24,0.15,0.35,1.0,0.6,0.7271773279523613,0.6844761136910532,0.5964799616826855,0.5315053469524325,0.5494949913272668,0.6178267483211599,0.5315053469524325
0.28,0.13,0.15,0.0,1.0,1.0,0.7133293475590299,0.6937474374567039,0.5951636630216312,0.5340564775406378,0.5526467423627137,0.6177887335881433,0.5340564775406378
0.28,0.24,0.0,0.15,1.6,1.6,0.7424489123016081,0.6768220627739931,0.5957612156635275,0.5309240529878442,0.5428091605349971,0.6177530808523939,0.5309240529878442
0.28,0.24,0.35,0.35,0.6,1.6,0.706194872282395,0.6910228375125863,0.5888306829961438,0.5515824410862223,0.5509417125374237,0.6177145092829542,0.5509417125374237
0.28,0.24,0.0,0.0,1.6,1.0,0.7443006525117122,0.676665132617517,0.5951049372036811,0.5305323933070297,0.5411872541096875,0.6175580739499255,0.5305323933070297
0.28,0.13,0.35,0.0,1.6,1.6,0.7143023234840892,0.6927615961830015,0.592189546118729,0.5390795331031016,0.5492848321903946,0.6175235662158631,0.5390795331031016
0.28,0.13,0.35,0.0,1.6,1.0,0.7138166641198691,0.6930168708754147,0.5944614954379265,0.5336915897369074,0.5523858718602284,0.6174744984060693,0.5336915897369074
0.28,0.13,0.35,0.35,1.6,1.6,0.7139437519920551,0.6931157001815983,0.5943618596852425,0.5335362892357516,0.5523266496199595,0.6174568501429214,0.5335362892357516
0.28,0.13,0.15,0.15,1.0,1.0,0.713309748127419,0.6940025068214808,0.5945058816136871,0.5333724709858418,0.5520446715646822,0.6174470558226222,0.5333724709858418
0.28,0.13,0.15,0.0,1.6,1.6,0.7218808327843798,0.6829824148856358,0.595362577801416,0.5365271738437142,0.550344835943186,0.6174195670516663,0.5365271738437142
0.28,0.24,0.35,0.0,0.6,1.0,0.706194872282395,0.6907086979304595,0.5873285239885199,0.5523192673253464,0.5505143219146194,0.617413136688268,0.5505143219146194
